"Error","Chunk","Fold","EmotionMeasure","SpecificEmotion","BodilyActivity","ConversationValence","OutputType"
0.785058617591858,"1","2","6emo","Anger_Accuracy","both","pos","observed"
0.785888671875,"1","2","6emo","Disgust_Accuracy","both","pos","observed"
1,"1","2","6emo","Fear_Accuracy","both","pos","observed"
0.554052710533142,"1","2","6emo","Happiness_Accuracy","both","pos","observed"
0.785009741783142,"1","2","6emo","Sadness_Accuracy","both","pos","observed"
0.531005859375,"1","2","6emo","Surprise_Accuracy","both","pos","observed"
3.49899291992188,"1","3","6emo","OverallError","both","pos","observed"
0.495486736297607,"1","3","6emo","Anger_Error","both","pos","observed"
0.509817004203796,"1","3","6emo","Disgust_Error","both","pos","observed"
0,"1","3","6emo","Fear_Error","both","pos","observed"
0.844186663627625,"1","3","6emo","Happiness_Error","both","pos","observed"
0.497488737106323,"1","3","6emo","Sadness_Error","both","pos","observed"
1.15201342105865,"1","3","6emo","Surprise_Error","both","pos","observed"
0.814501941204071,"1","3","6emo","Anger_Accuracy","both","pos","observed"
0.812158226966858,"1","3","6emo","Disgust_Accuracy","both","pos","observed"
1,"1","3","6emo","Fear_Accuracy","both","pos","observed"
0.632226586341858,"1","3","6emo","Happiness_Accuracy","both","pos","observed"
0.816943347454071,"1","3","6emo","Sadness_Accuracy","both","pos","observed"
0.539746105670929,"1","3","6emo","Surprise_Accuracy","both","pos","observed"
5.52498722076416,"1","4","6emo","OverallError","both","pos","observed"
0.925978064537048,"1","4","6emo","Anger_Error","both","pos","observed"
1.02890884876251,"1","4","6emo","Disgust_Error","both","pos","observed"
0,"1","4","6emo","Fear_Error","both","pos","observed"
0.891755402088165,"1","4","6emo","Happiness_Error","both","pos","observed"
0.94973087310791,"1","4","6emo","Sadness_Error","both","pos","observed"
1.72861421108246,"1","4","6emo","Surprise_Error","both","pos","observed"
0.829931616783142,"1","4","6emo","Anger_Accuracy","both","pos","observed"
0.830078125,"1","4","6emo","Disgust_Accuracy","both","pos","observed"
1,"1","4","6emo","Fear_Accuracy","both","pos","observed"
0.629785180091858,"1","4","6emo","Happiness_Accuracy","both","pos","observed"
0.830029308795929,"1","4","6emo","Sadness_Accuracy","both","pos","observed"
0.667089819908142,"1","4","6emo","Surprise_Accuracy","both","pos","observed"
3.35608816146851,"1","5","6emo","OverallError","both","pos","observed"
0.424190044403076,"1","5","6emo","Anger_Error","both","pos","observed"
0.757195830345154,"1","5","6emo","Disgust_Error","both","pos","observed"
7.2759565039604e-10,"1","5","6emo","Fear_Error","both","pos","observed"
0.815295815467834,"1","5","6emo","Happiness_Error","both","pos","observed"
0.429466426372528,"1","5","6emo","Sadness_Error","both","pos","observed"
0.929939925670624,"1","5","6emo","Surprise_Error","both","pos","observed"
0.770458996295929,"1","5","6emo","Anger_Accuracy","both","pos","observed"
